LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Sunshine Duration;Wind Speed;Wind Direction;Temperature;Temperature;Relative Humidity;Relative Humidity;Wind Speed;Wind Speed
UNIT;;;;;°C;%;mm;min;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Sunshine Duration daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd]
1990;12;02;00;00;-0.41;85.75;0.00;0.00;2.71;87.59;2.46;-3.04;98.00;66.00;5.24;0.84
1990;12;03;00;00;1.95;92.29;0.00;0.00;5.77;81.46;3.47;0.92;97.00;86.00;8.69;1.21
1990;12;04;00;00;2.00;92.08;0.00;0.00;4.95;262.38;3.77;0.33;100.00;81.00;6.60;3.20
1990;12;05;00;00;2.16;91.50;1.00;304.02;9.08;185.32;3.64;-0.70;100.00;76.00;16.46;5.59
1990;12;06;00;00;-0.35;87.25;0.00;0.00;9.25;69.18;1.37;-1.69;99.00;71.00;16.52;5.60
1990;12;07;00;00;-0.65;82.29;0.00;340.56;3.76;130.59;2.74;-3.04;92.00;64.00;5.20;2.34
1990;12;08;00;00;2.19;86.17;0.40;316.92;6.34;153.04;7.75;-1.97;97.00;64.00;9.32;3.86
1990;12;09;00;00;4.05;85.96;0.00;0.00;8.09;101.23;6.23;2.21;97.00;66.00;12.13;2.77
1990;12;10;00;00;1.54;92.62;10.10;0.00;13.78;253.45;3.16;0.51;97.00;84.00;22.05;7.17
1990;12;11;00;00;0.19;93.38;0.10;0.00;6.07;200.46;1.87;-2.13;100.00;81.00;9.90;1.13
1990;12;12;00;00;0.98;92.54;5.20;0.00;17.80;252.47;2.04;-0.64;98.00;85.00;26.77;9.67
1990;12;13;00;00;1.27;96.54;17.10;0.00;16.97;266.90;2.11;-0.26;97.00;95.00;36.20;8.10
1990;12;14;00;00;0.41;93.75;0.50;0.00;10.34;35.56;1.95;-1.35;97.00;85.00;12.44;9.08
1990;12;15;00;00;0.74;92.54;1.10;0.00;10.65;41.14;1.72;0.06;97.00;83.00;12.19;8.44
1990;12;16;00;00;-0.43;90.79;0.00;9.93;13.07;55.64;1.14;-2.63;97.00;76.00;17.52;9.63
1990;12;17;00;00;-0.67;91.42;0.00;0.00;9.73;71.09;0.39;-1.51;96.00;80.00;13.20;5.20
1990;12;18;00;00;0.62;87.25;0.00;0.00;4.94;147.55;4.40;-2.25;94.00;71.00;6.67;3.26
1990;12;19;00;00;2.52;89.96;0.20;0.00;8.40;225.28;4.56;-0.22;95.00;82.00;16.09;4.07
1990;12;20;00;00;-0.57;85.62;0.00;363.25;10.13;252.66;1.41;-2.25;96.00;72.00;15.23;8.02
1990;12;21;00;00;1.88;93.46;4.40;0.00;17.82;232.73;3.37;0.95;99.00;88.00;25.29;11.67
1990;12;22;00;00;3.45;99.50;3.00;0.00;8.63;219.07;4.98;2.42;100.00;98.00;11.34;3.43
1990;12;23;00;00;6.25;92.00;0.00;50.43;2.95;120.16;9.13;4.44;100.00;79.00;5.50;1.13
1990;12;24;00;00;4.68;89.75;0.00;0.00;3.93;230.71;8.17;2.21;97.00;75.00;5.69;2.86
1990;12;25;00;00;4.82;94.17;0.00;0.00;7.04;213.31;6.87;2.73;100.00;86.00;12.20;2.90
1990;12;26;00;00;5.03;91.00;5.50;0.00;18.43;229.54;7.75;3.48;98.00;78.00;32.46;8.64
1990;12;27;00;00;5.39;92.71;6.10;59.36;38.19;244.82;6.49;4.34;97.00;83.00;48.24;26.23
1990;12;28;00;00;5.11;90.12;0.10;148.09;17.26;227.94;7.94;2.98;99.00;69.00;32.86;7.11
1990;12;29;00;00;6.60;96.62;7.20;0.00;19.80;220.69;9.87;3.52;100.00;82.00;26.86;9.54
